Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
MABA,CMGEOI,2,J,C002954,30,N. N.,wetenschappelijk onderzoek|literatuuur|data verzamelen|evaluatie|interpretatie|synthese,periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,
MABA,CMGEOM,1,2,C003385,5,N. N.,,periodegebonden,werkstuk,werkstuk,
MABA,CMGEOM,2,J,C003153,25,N. N.,zie richtlijnen op http://geoweb.ugent.be/studenten,periodegebonden,werkstuk,werkstuk,
MABA,CMGLOG,2,J,C002954,30,N. N.,wetenschappelijk onderzoek|literatuuur|data verzamelen|evaluatie|interpretatie|synthese,periodegebonden,mondeling examen|werkstuk,mondeling examen|werkstuk,
MABA,CMIMBR,1,2,C003906,12,,,,,,
MABA,CMIMBR,2,1,C003907,6,,,,,,
MABA,CMIMBR,2,1,C003934,6,,,,,,
MABA,CMIMBR,2,2,C003935,30,,,,,,
MABA,CMINFO,1,1,C003241,6,Christophe Scholliers,programmeertalen|typesystemen|operationele semantiek|lambda-calculus,periodegebonden|niet-periodegebonden,mondeling examen,mondeling examen,werkstuk
MABA,CMINFO,1,1,C003758,6,Yvan Saeys,machine learning|supervised learning (classification and regression)|unsupervised learning (clustering)|dimensionality reduction,periodegebonden|niet-periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,mondeling examen|verslag
MABA,CMINFO,1,1,E017930,6,Jan Fostier|Filip De Turck,parallelle en gedistribueerde software|communicatie|coördinatie|synchronisatie|efficiëntie|programmeermodellen|hoog-performant rekenen|cloud computing|fouttolerantie.,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|vaardigheidstest|verslag
MABA,CMINFO,1,2,C000957,3,Hendrik Vanhees,recht van de intellectuele eigendom|auteursrecht|industriële eigendom,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
MABA,CMINFO,1,2,C003349,6,Veerle Fack,combinatorische problemen|algoritmen|exhaustieve algoritmen|heuristische algoritmen,periodegebonden|niet-periodegebonden,schriftelijk examen|mondeling examen,schriftelijk examen|mondeling examen,mondeling examen|werkstuk
MABA,CMINFO,1,2,C004041,3,Bart Mesuere,data|datavisualisatie|data-analyse,niet-periodegebonden,,,portfolio|werkstuk|verslag
MABA,CMINFO,1,2,C004072,6,Sofie Van Gassen|Martin Valcke|Francis wyffels,"projectwerk|vakoverschrijdend|groepswerk,  robotica, artificiële intelligentie",niet-periodegebonden,,,participatie|werkstuk|peer-evaluatie|verslag
MABA,CMINFO,1,2,E018520,6,Bjorn De Sutter,contextvrije grammatica|afleidingsboom|parsers|abstracte-syntaxbomen|semantische analyse|basisblokken|instructieselectie|registertoewijzing|dataverloopanalyse|controleverloopanalyse|codegeneratie|optimalisatie|ondersteuning managed talen|geheugensanering|pijplijnen|inroosteren|technieken voor hoog-niveautalen|just-in-time- compilatie,periodegebonden|niet-periodegebonden,schriftelijk examen|openboekexamen,schriftelijk examen|openboekexamen,mondeling examen|werkstuk|verslag
