Diploma,Opleiding,Jaar,Semester,Cursuscode,Studiepunten,Lesgevers,Trefwoorden,Evaluatiemomenten,Evaluatievormen PGE1,Evaluatievormen PGE2,Evaluatievormen NPGE
BACH,EB6INWMP,1,2,E610053,6,Jan Devos|Brecht Willems,programmeren|python|html|css|databanken|sql|computerwetenschappen (p170)|informatica (p175)|computertechnologie (t120).,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|vaardigheidstest
BACH,EB6INWMP,1,2,E610054,3,Jos Knockaert|Steve Dereyne|Jan Desmet,duurzame energie|hernieuwbare energie|energieproductie|energieverbruik.,periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,EB6INWMP,1,2,E610055,3,Sam Lemey|Brecht Willems,elektronica,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|verslag
BACH,EB6INWMP,1,J,E610013,6,Michael Monte|Ria Callens,statica|kinematica|kinetica|wetten van newton|energie|kracht|moment|impuls|puntmassa|star lichaam,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,EB6INWMP,1,J,E610052,5,Kurt Stockman|Ria Callens|Simon De Boever|Steve Dereyne|Jan Detand|Michael Monte|Olivier Rysman|Steven Verstockt|Leen Pollefliet,cdio|projectwerk|schriftelijke en mondelinge presentaties.,niet-periodegebonden,,,werkstuk|peer-evaluatie|verslag
BACH,EB6INWMP,2,1,E620032,6,Bruno Vanslambrouck|Martijn van den Broek,hydrostatica|fluïdomechanica|stroming in buizen|leidingsystemen|pompen|warmteoverdracht|thermodynamica|kringprocessen|stoom|vochtige lucht,periodegebonden,schriftelijk examen,schriftelijk examen,
BACH,EB6INWMP,2,1,E620052,3,Michael Monte,statica|spanningen|buiging|afschuiving|trek|druk|torsie,periodegebonden,schriftelijk examen met open vragen,schriftelijk examen met open vragen,
BACH,EB6INWMP,2,1,E620100,6,Sam Lemey|Ann Franchois,vectoranalyse|lijnintegralen|reeksen|signalen|systemen|laplacetransformatie|fouriertransformatie|convolutie,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen
BACH,EB6INWMP,2,1,E620400,6,Sam Lemey|Brecht Willems|Johan Beke,elektronica|digitaal|operationele versterkers|opamps|ad/da|spanningsregelaar,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|verslag
BACH,EB6INWMP,2,1,E620500,3,Veerle Ongenae,software|programmeren|oop|c#|.net|software layers|informatica,periodegebonden|niet-periodegebonden,schriftelijk examen|vaardigheidstest,schriftelijk examen|vaardigheidstest,vaardigheidstest
BACH,EB6INWMP,2,1,E620600,3,Jos Knockaert|Wesley Cottegnie,driefasige systemen|transformator|inductiemachine|vermogenmeting|contactor,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,schriftelijk examen|participatie
BACH,EB6INWMP,2,1,E620700,3,Olivier Rysman|Davy Parmentier,cad|machineonderdelen|productietechniek|mechanisch ontwerpen,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,werkstuk
BACH,EB6INWMP,2,2,E620048,3,Eric Laermans,statistiek,periodegebonden,schriftelijk examen met open vragen|openboekexamen,schriftelijk examen met open vragen|openboekexamen,
BACH,EB6INWMP,2,2,E620061,6,Bart Vanwalleghem|Simon De Boever|Wim Serruys,machineonderdelen (lagers|assen|koppelingen|remmen)|cnc-technologie|veiligheid in machinebouw|machinerichtlijnen,periodegebonden,schriftelijk examen|participatie,schriftelijk examen|participatie,
BACH,EB6INWMP,2,2,E620062,6,Jos Knockaert|Wesley Cottegnie,acdc|dcdc|dcac|smps|microcontroller architectuur|programmatie|ingebed systeem|c/c++,periodegebonden|niet-periodegebonden,schriftelijk examen,schriftelijk examen,participatie|werkstuk
